OrderID|CustomerName|OrderAmount|Discount|OrderDate|DeliveryDate|MobileNumber|StateName|Rating
1001|Priya|909|300|2025-05-21|2025-05-25|7958682846|Maharashtra|2
1002|Priya|9435|50|2025-10-30|2025-11-06|7136505587|Telangana|1
1003|Sneha|4311|250|2025-11-05|2025-11-06|9410529190|Maharashtra|2
1004|Vijay|7373|100|2025-08-18|2025-08-28|8194819984|Andhra Pradesh|1
1005|Arjun|6074|150|2025-03-21|2025-03-25|8445662585|Telangana|1
1006|Arjun|2084|150|2025-06-26|2025-07-06|8136108454|Maharashtra|1
1007|Meena|9285|50|2025-07-13|2025-07-15|9370996465|Maharashtra|3
1008|Anjali|6425|250|2025-04-09|2025-04-11|7196814233|Karnataka|2
1009|Priya|4314|50|2025-07-14|2025-07-19|8947382419|Andhra Pradesh|3
1010|Pooja|6320|100|2025-12-10|2025-12-15|9935814872|Kerala|1
1011|Amit|9251||2025-05-06|2025-05-09|8985392498|Karnataka|4
1012|Vijay|4098|300|2025-06-16|2025-06-17|7983753977|Karnataka|1
1013|Arjun|4886|XYZ|2025-02-03|2025-02-07|9436019774|Andhra Pradesh|3
1014|Meena|6982|300|2025-08-23|2025-08-26|8137651678|Andhra Pradesh|2
1015|Vijay|9330|150|2025-10-27|2025-11-03|9506254832|Karnataka|4
1016|Sneha|2766|250|2025-09-10|2025-09-12|7202363285|Andhra Pradesh|1
1017|Amit|ABC|300|2025-08-05|2025-08-15|7272849424|Tamil Nadu|4
1018|Anjali|8168|250|2025-05-09|2025-05-18|7049310608|Maharashtra|1
1019|Vijay|4871|300|2025-06-24|2025-06-26||Andhra Pradesh|4
1020|Meena|553|300|2025-05-15|2025-05-24|7767303988|Telangana|5
1021|Kiran|8817|250|2025-04-12|2025-04-15|8605947756|Kerala|2
1022|Vijay|509||2025-11-03|2025-11-09|9098545541|Telangana|1
1023|Pooja|5538|100|Invalid Date|2025-02-03|9436779490|Telangana|1
1024|Meena|1633|250|2025-03-06|2025-03-09|9833608204|Kerala|4
1025|Amit|4842|250|2025-11-07|2025-11-14|7909666337|Maharashtra|5
1026|Sneha|5607|XYZ|2025-07-24|2025-07-30|8881625505|Tamil Nadu|5
1027|Priya|4561|100|2025-02-02|2025-02-08|7090341465|Kerala|
1028|Sneha|4108|50|2025-02-06|2025-02-07|7983297492|Telangana|1
1029|Pooja||50|2025-09-21|2025-09-25|8196050747|Andhra Pradesh|4
1030|Vijay|2667|300|2025-10-20|2025-10-30|9030106617|Tamil Nadu|2
1031|Arjun|3619|50|2025-02-19||8521696479|Tamil Nadu|4
1032|Meena|1387|300|2025-12-01|2025-12-03|7260329455|Maharashtra|4
1033|Pooja|2290||2025-05-08|2025-05-12|7816941039|Tamil Nadu|5
1034|Amit|ABC|200|2025-04-04|2025-04-09|8986972437|Telangana|2
1035|Meena|9516|50|2025-01-26|2025-02-04|7063384488|Andhra Pradesh|1
1036|Amit|7158|200|2025-09-04|2025-09-08|8722454917|Andhra Pradesh|1
1037|Arjun|535|200|2025-05-16|2025-05-24|8225136114|Maharashtra|4
1038|Vijay|8473|100|2025-04-08|2025-04-13||Kerala|1
1039|Vijay|1498|XYZ|2025-06-10|2025-06-11|7215359682|Tamil Nadu|5
1040|Vijay|9201|100|2025-01-30|2025-02-08|7344076115|Telangana|2
1041|Anjali|1613|300|2025-05-01|2025-05-08|7514909066|Andhra Pradesh|5
1042|Anjali|1151|250|2025-02-11|2025-02-18|9823396242|Kerala|5
1043|Vijay|5683|150|2025-04-15|2025-04-21|8025148381|Tamil Nadu|3
1044|Amit|5415||2025-08-23|2025-08-29|7311570307|Tamil Nadu|1
1045|Anjali|9724|50|2025-02-07|2025-02-16|7915490795|Karnataka|5
